2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:43 | ============================================================
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:44 | SecVuln Agent Starting...
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:45 | ============================================================
2025-10-16 00:39:52 | CRITICAL | secvuln-agent | main:378 | Fatal error: Device at row 18 missing required field: device_id
Traceback (most recent call last):
  File "C:\Projects\secvuln-agent\src\main.py", line 366, in main
    agent = SecVulnAgent()
            ^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\main.py", line 50, in __init__
    self.devices = self.config_loader.load_devices()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 113, in load_devices
    self._validate_devices()
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 132, in _validate_devices
    raise ValueError(
ValueError: Device at row 18 missing required field: device_id
2025-10-16 11:57:55 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from NVD (tier3)...
2025-10-16 11:58:05 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 11 CVEs from NVD
2025-10-16 11:58:07 | INFO     | secvuln-agent | collect_vulnerabilities:181 | Total unique CVEs collected: 19
2025-10-16 11:58:07 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-11683: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 11:58:07 | INFO     | secvuln-agent | process_vulnerabilities:249 | Processed 3 vulnerabilities
2025-10-16 11:58:13 | INFO     | secvuln-agent | run_scan:326 | Scan complete. Database stats: {'total_cves': 1670, 'unnotified_cves': 0, 'by_severity': {'LOW': 1670}, 'cisa_kev_count': 1442, 'new_last_24h': 1670}
2025-10-16 12:58:13 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 12:58:13.252546
2025-10-16 12:58:13 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 12:58:14 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from CISA KEV
2025-10-16 12:58:16 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 12:58:17 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 8 CVEs from GitHub Advisories
2025-10-16 12:58:19 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
